case_id,source_label,source_report_role,case_name,scenario_class,hazard_trigger,affected_setting,actor_chain,failure_modes,intervention_points,observed_outcomes,metric_candidates,simulation_modules,policy_scenarios,source_url,pdf_url
HC-MEM-001,FACT,灾害事故调查,“7·20”河南郑州特大暴雨灾害调查报告,极端降雨洪涝/山洪及基础设施失效,"[""极端暴雨/洪水/山洪"", ""滑坡/堆填体失稳""]","[""城市内涝区"", ""山丘区村镇"", ""地铁/隧道"", ""水库/河道"", ""固定经营场所""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""warning_response_gap"", ""evacuation_not_decisive""]","[""预警-响应联动触发阈值"", ""强制/协商转移与返家管控""]","{""deaths_or_dead_missing"": ""398人"", ""missing"": """", ""injured"": """", ""direct_economic_loss"": ""1200.6亿元"", ""transfer_or_evacuation_data"": ""953 人安全撤出；转移受威胁群众 9.8 万人；疏散救援， 953 人；转移后又返回导 致遇难，二者占 17.5%，说明转移和救援组织不力、管理不 到位"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""effective_lead_time_minutes"", ""response_activation_delay_minutes"", ""warning_to_action_conversion_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""warning_response_kernel""]","[""S0"", ""S2"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2022dcbg/,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/202201/P020220121639049697767.pdf
HC-MEM-002,FACT,灾害事故调查,北京密云太师屯镇养老照料中心“7·28”暴雨洪水特别重大灾害调查评估报告,极端降雨洪涝/山洪及基础设施失效,"[""极端暴雨/洪水/山洪""]","[""养老机构"", ""村镇/社区"", ""河道周边低洼区""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""registry_coverage_gap"", ""evacuation_not_decisive"", ""grassroots_confirmation_gap"", ""institution_execution_gap""]","[""脆弱群体/重点场所动态台账"", ""强制/协商转移与返家管控"", ""网格员确认闭环和上报时限"", ""机构负责人预案演练和一键求援""]","{""deaths_or_dead_missing"": ""32人"", ""missing"": """", ""injured"": """", ""direct_economic_loss"": """", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""vulnerable_group_coverage_rate"", ""critical_facility_registry_coverage_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""grassroots_confirmation_closure_rate"", ""upward_reporting_timeliness"", ""institution_lead_execution_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""bottom_up_reporting_kernel""]","[""S0"", ""S3"", ""S4"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202606/t20260618_608227.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202606/P020260618650408104813.pdf
HC-MEM-003,FACT,灾害事故调查,广东深圳光明新区渣土受纳场“12·20”特别重大滑坡事故调查报告,地质灾害/堆填体滑坡,"[""滑坡/堆填体失稳""]","[""渣土受纳场"", ""周边工业园/企业"", ""居民点""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""自然资源部门"", ""园区/企业负责人"", ""周边居民""]","[""evacuation_not_decisive"", ""route_or_infrastructure_failure"", ""grassroots_confirmation_gap""]","[""强制/协商转移与返家管控"", ""关键通道巡查、封控与备用路线"", ""网格员确认闭环和上报时限""]","{""deaths_or_dead_missing"": ""73人"", ""missing"": ""4人"", ""injured"": ""17人"", ""direct_economic_loss"": ""88112.23万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""route_blockage_exposure_rate"", ""alternate_route_activation_rate"", ""grassroots_confirmation_closure_rate"", ""upward_reporting_timeliness"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""bottom_up_reporting_kernel"", ""infrastructure_route_kernel""]","[""S0"", ""S1"", ""S4"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2016/,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2016/201607/P020190415543303044296.pdf
HC-MEM-004,FACT,整改评估/制度修复,陕西商洛“7·19”高速公路桥梁垮塌灾害整改和防范措施落实情况评估报告,极端降雨洪涝/山洪及基础设施失效,"[""桥梁/道路受洪水冲毁或垮塌"", ""道路交通碰撞/客运风险""]","[""高速公路/桥梁通道"", ""流域村镇"", ""水毁道路""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""warning_response_gap"", ""evacuation_not_decisive"", ""route_or_infrastructure_failure"", ""regulatory_enforcement_gap""]","[""预警-响应联动触发阈值"", ""强制/协商转移与返家管控"", ""关键通道巡查、封控与备用路线"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": """", ""missing"": """", ""injured"": """", ""direct_economic_loss"": """", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""effective_lead_time_minutes"", ""response_activation_delay_minutes"", ""warning_to_action_conversion_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""route_blockage_exposure_rate"", ""alternate_route_activation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""warning_response_kernel"", ""infrastructure_route_kernel"", ""review_rectification_kernel""]","[""S0"", ""S1"", ""S2"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202605/t20260522_604598.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202605/P020260522585605581223.pdf
HC-MEM-005,FACT,灾害事故调查,陕西商洛“7·19”高速公路桥梁垮塌灾害调查评估报告,极端降雨洪涝/山洪及基础设施失效,"[""极端暴雨/洪水/山洪"", ""桥梁/道路受洪水冲毁或垮塌"", ""道路交通碰撞/客运风险""]","[""高速公路/桥梁通道"", ""流域村镇"", ""水毁道路""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""warning_response_gap"", ""evacuation_not_decisive"", ""route_or_infrastructure_failure""]","[""预警-响应联动触发阈值"", ""强制/协商转移与返家管控"", ""关键通道巡查、封控与备用路线""]","{""deaths_or_dead_missing"": ""62人"", ""missing"": """", ""injured"": """", ""direct_economic_loss"": ""15751.41万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""effective_lead_time_minutes"", ""response_activation_delay_minutes"", ""warning_to_action_conversion_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""route_blockage_exposure_rate"", ""alternate_route_activation_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""warning_response_kernel"", ""infrastructure_route_kernel""]","[""S0"", ""S1"", ""S2"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202503/t20250327_531682.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202503/P020250507619451391681.pdf
HC-MEM-006,FACT,灾害事故调查,内蒙古自治区赤峰宝马矿业有限责任公司“12·3”特别重大瓦斯爆炸事故调查报告,危化品/燃气爆炸火灾,"[""爆炸/冲击波/危化品"", ""瓦斯/矿山坍塌""]","[""村镇/社区"", ""工厂/工地/园区"", ""矿山""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap"", ""regulatory_enforcement_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""32人"", ""missing"": """", ""injured"": ""20人"", ""direct_economic_loss"": ""4399万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2017/,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2017/201709/P020190415541917344053.pdf
HC-MEM-007,FACT,灾害事故调查,内蒙古阿拉善新井煤业有限公司露天煤矿“2·22”特别重大坍塌事故调查报告,矿山事故/工矿场所,"[""瓦斯/矿山坍塌"", ""建筑结构失效""]","[""工厂/工地/园区"", ""矿山""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员""]","[""warning_response_gap"", ""evacuation_not_decisive"", ""enterprise_responsibility_gap"", ""regulatory_enforcement_gap""]","[""预警-响应联动触发阈值"", ""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""53人"", ""missing"": """", ""injured"": ""6人"", ""direct_economic_loss"": ""20430.25万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""effective_lead_time_minutes"", ""response_activation_delay_minutes"", ""warning_to_action_conversion_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""warning_response_kernel""]","[""S0"", ""S2"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202308/t20230829_460802.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202308/P020230829535806813294.pdf
HC-MEM-008,FACT,灾害事故调查,北京丰台长峰医院“4·18”重大火灾事故调查报告,人员密集或脆弱机构场所,"[""火灾/烟气/逃生受阻""]","[""医院"", ""村镇/社区"", ""工厂/工地/园区"", ""危化品仓储/化工企业""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""registry_coverage_gap"", ""evacuation_not_decisive"", ""institution_execution_gap"", ""regulatory_enforcement_gap""]","[""脆弱群体/重点场所动态台账"", ""强制/协商转移与返家管控"", ""机构负责人预案演练和一键求援"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""29人"", ""missing"": """", ""injured"": ""42人"", ""direct_economic_loss"": ""3831.82万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""vulnerable_group_coverage_rate"", ""critical_facility_registry_coverage_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""institution_lead_execution_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202310/t20231025_466731.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202310/P020231025580808327132.pdf
HC-MEM-009,FACT,灾害事故调查,天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故调查报告,危化品/燃气爆炸火灾,"[""火灾/烟气/逃生受阻"", ""爆炸/冲击波/危化品""]","[""高速公路/桥梁通道"", ""工厂/工地/园区"", ""商住综合体/店铺/餐饮"", ""危化品仓储/化工企业""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap"", ""regulatory_enforcement_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""165人"", ""missing"": ""8人"", ""injured"": ""798人"", ""direct_economic_loss"": ""68.66亿元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2016/,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2016/201602/P020190415543917598002.pdf
HC-MEM-010,FACT,灾害事故调查,宁夏银川富洋烧烤店“6·21”特别重大燃气爆炸事故调查报告,危化品/燃气爆炸火灾,"[""爆炸/冲击波/危化品""]","[""工厂/工地/园区"", ""商住综合体/店铺/餐饮""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap"", ""regulatory_enforcement_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""31人"", ""missing"": """", ""injured"": ""7人"", ""direct_economic_loss"": ""5114.5万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202401/t20240127_476487.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202401/P020240127590412114157.pdf
